,Order_Date,Sales,forecast
0,2011-01-31,10274.951000000001,
1,2011-02-28,4127.044,
2,2011-03-31,23906.656000000003,
3,2011-04-30,19937.923000000003,
4,2011-05-31,17323.601000000002,
5,2011-06-30,22346.234600000003,
6,2011-07-31,21725.115,
7,2011-08-31,21955.2065,
8,2011-09-30,40155.516800000005,
9,2011-10-31,22765.181,
10,2011-11-30,52972.64570000001,
11,2011-12-31,44318.414500000006,
12,2012-01-31,9030.27,
13,2012-02-29,9266.875,
14,2012-03-31,21324.827600000004,
15,2012-04-30,25107.8365,
16,2012-05-31,20411.235500000003,
17,2012-06-30,18222.791,
18,2012-07-31,22652.713000000003,
19,2012-08-31,26155.326200000003,
20,2012-09-30,44318.368,
21,2012-10-31,24492.038,
22,2012-11-30,52883.759300000005,
23,2012-12-31,47967.275200000004,
24,2013-01-31,13090.605000000001,
25,2013-02-28,13012.835,
26,2013-03-31,28211.727000000003,
27,2013-04-30,23513.107000000004,
28,2013-05-31,30296.131,
29,2013-06-30,28411.557,
30,2013-07-31,28132.144000000004,
31,2013-08-31,25231.322300000003,
32,2013-09-30,50811.9075,
33,2013-10-31,24950.638000000003,
34,2013-11-30,54874.105,
35,2013-12-31,61319.599,
36,2014-01-31,22807.867000000002,
37,2014-02-28,16179.859400000001,
38,2014-03-31,32729.522,
39,2014-04-30,25353.7834,
40,2014-05-31,35201.337400000004,
41,2014-06-30,34349.359200000006,
42,2014-07-31,35732.352,31689.757225401772
43,2014-08-31,34269.544,28567.10908643324
44,2014-09-30,63690.990000000005,57054.911705248924
45,2014-10-31,41701.650200000004,31876.79652539265
46,2014-11-30,67037.914,60423.14502778697
47,2014-12-31,67413.75480000001,64447.331156854336
